1700071K01RIK
AAK1
AARS
ABCC1
ABI1
ABI2
ABL1
ABL2
ABLIM1
ACAA2
ACACA
ACAD10
ACAD11
ACADSB
ACAP2
ACAT1
ACBD3
ACBD6
ACLY
ACO2
ACOX1
ACP1
ACSL3
ACSL5
ACTA1
ACTA2
ACTB
ACTBL2
ACTC1
ACTG1
ACTG2
ACTN1
ACTN4
ACTR10
ACTR3
ACTR3B
ACTR3C
ACVR1B
ADA
ADAM9
ADAMTSL4
ADD1
ADD2
ADD3
ADH1B
ADI1
ADK
ADRB2
ADRBK1
ADSS
AFAP1L1
AFAP1L2
AFF4
AGFG1
AGL
AGTR1
AGTRAP
AGXT
AHCTF1
AHCY
AHCYL1
AHNAK
AHR
AICDA
AIFM2
AIP
AK2
AKAP11
AKAP8
AKR1A1
AKR1B1
AKR1C1
AKR1C2
AKR1C3
AKR7A2
AKR7L
AKT1
AKT2
AKT3
ALB
ALDH1A1
ALDH1A7
ALDH7A1
ALDH9A1
ALDOA
ALDOB
ALDOC
ALK
ALKBH3
ALKBH5
ALS2
AMOTL1
AMOTL2
AMPD2
ANAPC1
ANAPC2
ANK1
ANK2
ANK3
ANKLE2
ANKRD13A
ANKRD26
ANKRD39
ANKRD50
ANKS1A
ANLN
ANO1
ANP32E
ANTXR1
ANTXR2
ANXA1
ANXA11
ANXA2
ANXA3
ANXA4
ANXA5
ANXA6
AP1AR
AP1B1
AP2B1
AP3M1
APBA1
APBB1
APC
APH1A
APLP2
APP
APRT
AQP1
AR
ARAF
ARAP2
ARAP3
ARFGAP2
ARFGAP3
ARFGEF3
ARHGAP12
ARHGAP21
ARHGAP27
ARHGAP30
ARHGAP32
ARHGAP35
ARHGAP39
ARHGAP42
ARHGAP5
ARHGDIA
ARHGDIB
ARHGEF1
ARHGEF10
ARHGEF10L
ARHGEF15
ARHGEF2
ARHGEF40
ARHGEF5
ARID1A
ARID4B
ARIH2
ARNT
ARPC1B
ARPC3
ARPP19
ARRB1
ARRB2
ARRDC3
ARVCF
ASAP1
ASAP3
ASH2L
ASPRV1
ASS1
ATAD2
ATG3
ATIC
ATP1A1
ATP1A3
ATP2A1
ATP2B1
ATP2B2
ATP4A
ATP5H
ATP5I
ATP5O
ATP6V1E1
ATP6V1E2
ATP9B
ATPBD4
ATRX
ATXN2
ATXN2L
AURKA
AXL
BAD
BAG3
BAI2
BAIAP2
BAIAP2L1
BAK1
BAP1
BCAR1
BCAR3
BCKDHA
BCLAF1
BCO2
BCR
BCR/ABL
BCS1L
BDKRB2
BHMT
BICD2
BID
BLK
BLNK
BMPR2
BMS1
BMX
BOD1L1
BRDT
BSN
BTAF1
BTK
BUD31
BYSL
C16ORF62
C19ORF21
C1ORF210
C2ORF71
C5ORF24
C6ORF132
C6ORF203
C8A
C9ORF129
C9ORF169
C9ORF78
CA9
CACNA1A
CACYBP
CALD1
CALM1
CALM2
CALM3
CALU
CAMK2A
CAMK2B
CAMK2D
CAMK2G
CAP1
CAPZB
CARKD
CASC5
CASKIN1
CASKIN2
CASP8
CASS4
CAT
CAV1
CAV2
CBL
CBLB
CBLC
CBR1
CBX5
CC2D1A
CCAR1
CCDC105
CCDC120
CCDC124
CCDC132
CCDC23
CCDC50
CCDC6
CCDC65
CCDC88A
CCDC94
CCNL1
CCT2
CCT4
CCT5
CCT8
CCZ1
CD163L1
CD19
CD200R1
CD22
CD226
CD247
CD28
CD2AP
CD300LB
CD300LF
CD33
CD34
CD37
CD3D
CD3E
CD3EAP
CD3G
CD5
CD7
CD79A
CD82
CD84
CD93
CDC37
CDC42BPB
CDC42EP1
CDC5L
CDCP1
CDH1
CDH2
CDH22
CDH23
CDH5
CDK1
CDK10
CDK11A
CDK11B
CDK12
CDK13
CDK14
CDK15
CDK16
CDK17
CDK18
CDK2
CDK3
CDK5
CDK5RAP2
CDK6
CDKL5
CDKN1B
CDV3
CEACAM1
CEACAM3
CEBPB
CENPC1
CEP135
CEP170
CEP41
CEP89
CFL1
CFL2
CFTR
CGN
CGNL1
CHCHD3
CHD1
CHD2
CHD4
CHEK2
CHERP
CHM
CHMP5
CHN1
CHN2
CHRM2
CHRM3
CHRNB1
CHRND
CHST1
CHST4
CHSY1
CIRBP
CISH
CIT
CKB
CKM
CKMT1A
CKMT2
CLASP2
CLDN1
CLDN11
CLDN18
CLDN2
CLDN3
CLDN4
CLDN5
